"location_name","joinpoint_model","aapc_index","start_obs","end_obs","aapc","aapc_c_i_low","aapc_c_i_high","statistically_significant_0_no_1_yes","test_statistic","p_value","p_value_label","legend","Year","Value","Label","Measure"
"East Asia & Pacific - WB",2,"Full Range",1990,2021,-7.8,-8.88,-6.7,1,-13.478,0,"***","1990~2021
-7.80(-8.88~-6.70)***","1990~2021","-7.80 (-8.88~-6.70)","Incidence","Number"
"East Asia & Pacific - WB",2,"1990.000-1999.000",1990,1999,-2.98,-3.77,-2.19,1,-7.674,0,"***","1990~1999
-2.98(-3.77~-2.19)***","1990~1999","-2.98 (-3.77~-2.19)","Incidence","Number"
"East Asia & Pacific - WB",2,"1999.000-2009.000",1999,2009,-1.33,-1.87,-0.79,1,-4.801,0,"***","1999~2009
-1.33(-1.87~-0.79)***","1999~2009","-1.33 (-1.87~-0.79)","Incidence","Number"
"East Asia & Pacific - WB",2,"2009.000-2019.000",2009,2019,0.35,-0.46,1.17,0,0.885,0.385,"","2009~2019
0.35(-0.46~1.17)","2009~2019","0.35 (-0.46~1.17)","Incidence","Number"
"East Asia & Pacific - WB",2,"2019.000-2021.000",2019,2021,-65.79,-71.25,-59.3,1,-12.748,0,"***","2019~2021
-65.79(-71.25~-59.30)***","2019~2021","-65.79 (-71.25~-59.30)","Incidence","Number"
"East Asia & Pacific - WB",2,"1990.000-2019.000",1990,2019,-1.27,-1.81,-0.73,1,-4.589,0,"***","1990~2019
-1.27(-1.81~-0.73)***","1990~2019","-1.27 (-1.81~-0.73)","Incidence","Number"
"Europe & Central Asia - WB",2,"Full Range",1990,2021,-9.27,-9.92,-8.62,1,-26.713,0,"***","1990~2021
-9.27(-9.92~-8.62)***","1990~2021","-9.27 (-9.92~-8.62)","Incidence","Number"
"Europe & Central Asia - WB",2,"1990.000-1999.000",1990,1999,-5.56,-5.85,-5.28,1,-38.833,0,"***","1990~1999
-5.56(-5.85~-5.28)***","1990~1999","-5.56 (-5.85~-5.28)","Incidence","Number"
"Europe & Central Asia - WB",2,"1999.000-2009.000",1999,2009,-5.56,-5.85,-5.28,1,-38.833,0,"***","1999~2009
-5.56(-5.85~-5.28)***","1999~2009","-5.56 (-5.85~-5.28)","Incidence","Number"
"Europe & Central Asia - WB",2,"2009.000-2019.000",2009,2019,4.18,3.21,5.17,1,9.025,0,"***","2009~2019
4.18(3.21~5.17)***","2009~2019","4.18 (3.21~5.17)","Incidence","Number"
"Europe & Central Asia - WB",2,"2019.000-2021.000",2019,2021,-68.95,-71.98,-65.59,1,-23.504,0,"***","2019~2021
-68.95(-71.98~-65.59)***","2019~2021","-68.95 (-71.98~-65.59)","Incidence","Number"
"Europe & Central Asia - WB",2,"1990.000-2019.000",1990,2019,-2.31,-2.66,-1.96,1,-12.695,0,"***","1990~2019
-2.31(-2.66~-1.96)***","1990~2019","-2.31 (-2.66~-1.96)","Incidence","Number"
"High SDI",1,"Full Range",1990,2021,-7.2,-8.92,-5.45,1,-7.837,0,"***","1990~2021
-7.20(-8.92~-5.45)***","1990~2021","-7.20 (-8.92~-5.45)","Incidence","Number"
"High SDI",1,"1990.000-1999.000",1990,1999,-1.81,-2.26,-1.35,1,-8.063,0,"***","1990~1999
-1.81(-2.26~-1.35)***","1990~1999","-1.81 (-2.26~-1.35)","Incidence","Number"
"High SDI",1,"1999.000-2009.000",1999,2009,-1.81,-2.26,-1.35,1,-8.063,0,"***","1999~2009
-1.81(-2.26~-1.35)***","1999~2009","-1.81 (-2.26~-1.35)","Incidence","Number"
"High SDI",1,"2009.000-2019.000",2009,2019,-1.81,-2.26,-1.35,1,-8.063,0,"***","2009~2019
-1.81(-2.26~-1.35)***","2009~2019","-1.81 (-2.26~-1.35)","Incidence","Number"
"High SDI",1,"2019.000-2021.000",2019,2021,-59.11,-69.58,-45.03,1,-6.203,0,"***","2019~2021
-59.11(-69.58~-45.03)***","2019~2021","-59.11 (-69.58~-45.03)","Incidence","Number"
"High SDI",1,"1990.000-2019.000",1990,2019,-1.81,-2.26,-1.35,1,-8.063,0,"***","1990~2019
-1.81(-2.26~-1.35)***","1990~2019","-1.81 (-2.26~-1.35)","Incidence","Number"
"High-middle SDI",2,"Full Range",1990,2021,-7.79,-8.36,-7.22,1,-25.7,0,"***","1990~2021
-7.79(-8.36~-7.22)***","1990~2021","-7.79 (-8.36~-7.22)","Incidence","Number"
"High-middle SDI",2,"1990.000-1999.000",1990,1999,-5.33,-5.73,-4.92,1,-26.491,0,"***","1990~1999
-5.33(-5.73~-4.92)***","1990~1999","-5.33 (-5.73~-4.92)","Incidence","Number"
"High-middle SDI",2,"1999.000-2009.000",1999,2009,-2.45,-2.73,-2.17,1,-16.995,0,"***","1999~2009
-2.45(-2.73~-2.17)***","1999~2009","-2.45 (-2.73~-2.17)","Incidence","Number"
"High-middle SDI",2,"2009.000-2019.000",2009,2019,0.51,0.08,0.94,1,2.456,0.022,"*","2009~2019
0.51(0.08~0.94)*","2009~2019","0.51 (0.08~0.94)","Incidence","Number"
"High-middle SDI",2,"2019.000-2021.000",2019,2021,-59.84,-63.34,-56.02,1,-20.688,0,"***","2019~2021
-59.84(-63.34~-56.02)***","2019~2021","-59.84 (-63.34~-56.02)","Incidence","Number"
"High-middle SDI",2,"1990.000-2019.000",1990,2019,-2.35,-2.63,-2.07,1,-16.28,0,"***","1990~2019
-2.35(-2.63~-2.07)***","1990~2019","-2.35 (-2.63~-2.07)","Incidence","Number"
"Latin America & Caribbean - WB",4,"Full Range",1990,2021,-4.71,-4.88,-4.55,1,-55.219,0,"***","1990~2021
-4.71(-4.88~-4.55)***","1990~2021","-4.71 (-4.88~-4.55)","Incidence","Number"
"Latin America & Caribbean - WB",4,"1990.000-1999.000",1990,1999,-3.3,-3.51,-3.09,1,-30.142,0,"***","1990~1999
-3.30(-3.51~-3.09)***","1990~1999","-3.30 (-3.51~-3.09)","Incidence","Number"
"Latin America & Caribbean - WB",4,"1999.000-2009.000",1999,2009,-2.08,-2.25,-1.92,1,-24.283,0,"***","1999~2009
-2.08(-2.25~-1.92)***","1999~2009","-2.08 (-2.25~-1.92)","Incidence","Number"
"Latin America & Caribbean - WB",4,"2009.000-2019.000",2009,2019,7.16,6.92,7.4,1,60.288,0,"***","2009~2019
7.16(6.92~7.40)***","2009~2019","7.16 (6.92~7.40)","Incidence","Number"
"Latin America & Caribbean - WB",4,"2019.000-2021.000",2019,2021,-56.75,-57.57,-55.9,1,-91.254,0,"***","2019~2021
-56.75(-57.57~-55.90)***","2019~2021","-56.75 (-57.57~-55.90)","Incidence","Number"
"Latin America & Caribbean - WB",4,"1990.000-2019.000",1990,2019,0.62,0.48,0.76,1,8.981,0,"***","1990~2019
0.62(0.48~0.76)***","1990~2019","0.62 (0.48~0.76)","Incidence","Number"
